InputVarType, OutputVarType, InputAlias, OutputAlias,TargetName, InputFileVarName, OutputFileVarName, InputBaseValue, OutputBaseValue, InputNewValue, OutputNewValue
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.433333, 222.43
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.433333, 215.21
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3000.000000, 197.35
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3000.000000, 183.50
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.233333, 190.17
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.233333, 181.45
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.031667, 198.01
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.031667, 195.07
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2000.000000, 216.54
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2000.000000, 204.98
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.043333, 196.71
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.043333, 183.07
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.078333, 181.70
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.078333, 178.42
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 3000.000000, 191.65
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 3000.000000, 181.04
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.433333, 227.03
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.433333, 218.29
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.020000, 243.65
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.020000, 197.25
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 4500.000000, 175.27
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 4500.000000, 169.25
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.090000, 184.62
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.090000, 179.77
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.066667, 194.38
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.066667, 181.09
IRP, O_t, HRR, ASET_5, Time, HRRPUA, V1, 3000.0, 197.35, 2500.000000, 207.17
IRP, O_t, HRR, ASET_10, Time, HRRPUA, V1, 3000.0, 183.50, 2500.000000, 192.55
IRP, O_t, SY, ASET_5, Time, SOOT_YIELD, V1, 0.052, 197.35, 0.066667, 194.38
IRP, O_t, SY, ASET_10, Time, SOOT_YIELD, V1, 0.052, 183.50, 0.066667, 181.09
IRP, O_t, EX, ASET_5, Time, VOLUME_FLOW, V1, 0.25, 197.35, 0.366667, 207.55
IRP, O_t, EX, ASET_10, Time, VOLUME_FLOW, V1, 0.25, 183.50, 0.366667, 204.55
